iter	Passed	Remaining
604	15545	10149
605	15569	10122
606	15594	10096
607	15623	10073
608	15649	10047
609	15675	10022
610	15701	9996
611	15728	9971
612	15754	9946
613	15778	9919
614	15802	9892
615	15829	9867
616	15858	9844
617	15883	9818
618	15907	9791
619	15935	9766
620	15959	9740
621	15986	9715
622	16012	9689
623	16037	9663
624	16060	9636
625	16086	9610
626	16112	9585
627	16137	9558
628	16161	9532
629	16185	9505
630	16211	9480
631	16238	9455
632	16271	9433
633	16298	9409
634	16323	9382
635	16347	9356
636	16374	9331
637	16399	9305
638	16427	9280
639	16462	9260
640	16486	9233
641	16512	9207
642	16537	9181
643	16562	9155
644	16590	9131
645	16616	9105
646	16642	9080
647	16668	9054
648	16693	9028
649	16721	9003
650	16746	8977
651	16770	8951
652	16794	8924
653	16821	8899
654	16848	8874
655	16872	8847
656	16896	8821
657	16920	8794
658	16944	8767
659	16970	8742
660	16995	8716
661	17022	8691
662	17046	8664
663	17074	8640
664	17100	8614
665	17124	8588
666	17153	8564
667	17179	8538
668	17207	8513
669	17234	8488
670	17259	8462
671	17284	8436
672	17313	8412
673	17348	8391
674	17373	8364
675	17400	8339
676	17426	8314
677	17452	8288
678	17480	8263
679	17504	8237
680	17530	8211
681	17558	8187
682	17583	8160
683	17613	8137
684	17640	8111
685	17663	8085
686	17691	8060
687	17715	8033
688	17740	8007
689	17765	7981
690	17790	7955
691	17819	7931
692	17845	7905
693	17873	7880
694	17898	7854
695	17924	7829
696	17950	7803
697	17977	7778
698	18005	7753
699	18031	7727
700	18057	7702
701	18080	7675
702	18106	7649
703	18131	7623
704	18156	7597
705	18180	7571
706	18207	7545
707	18236	7521
708	18261	7495
709	18290	7470
710	18318	7445
711	18342	7419
712	18373	7395
713	18400	7370
714	18423	7343
715	18451	7318
716	18477	7292
717	18504	7267
718	18531	7242
719	18557	7216
720	18584	7191
721	18608	7165
722	18635	7139
723	18661	7114
724	18685	7087
725	18714	7063
726	18739	7036
727	18766	7011
728	18793	6986
729	18817	6959
730	18842	6933
731	18867	6907
732	18896	6883
733	18921	6857
734	18946	6831
735	18971	6805
736	18996	6778
737	19024	6754
738	19050	6728
739	19075	6702
740	19103	6677
741	19129	6651
742	19157	6626
743	19181	6599
744	19212	6576
745	19241	6551
746	19266	6525
747	19294	6500
748	19317	6473
749	19340	6446
750	19367	6421
751	19391	6395
752	19417	6369
753	19445	6344
754	19470	6318
755	19498	6293
756	19525	6267
757	19550	6241
758	19575	6215
759	19602	6190
760	19634	6166
761	19659	6140
762	19684	6114
763	19712	6089
764	19739	6063
765	19765	6038
766	19790	6012
767	19817	5986
768	19845	5961
769	19871	5935
770	19897	5909
771	19925	5884
772	19949	5858
773	19979	5833
774	20003	5807
775	20029	5781
776	20054	5755
777	20080	5729
778	20105	5703
779	20129	5677
780	20160	5653
781	20186	5627
782	20213	5601
783	20239	5576
784	20264	5550
785	20290	5524
786	20319	5499
787	20344	5473
788	20371	5447
789	20395	5421
790	20420	5395
791	20446	5369
792	20473	5344
793	20499	5318
794	20526	5293
795	20555	5267
796	20579	5241
797	20605	5216
798	20632	5190
799	20656	5164
800	20683	5138
801	20706	5111
802	20734	5086
803	20759	5060
804	20785	5034
805	20810	5009
806	20835	4982
807	20862	4957
808	20889	4931
809	20914	4905
810	20939	4879
811	20966	4854
812	20994	4828
813	21018	4802
814	21045	4777
815	21070	4751
816	21098	4725
817	21123	4699
818	21152	4674
819	21179	4649
820	21203	4623
821	21236	4598
822	21262	4572
823	21291	4547
824	21316	4521
825	21343	4496
826	21368	4470
827	21396	4444
828	21424	4419
829	21448	4393
830	21472	4366
831	21498	4341
832	21524	4315
833	21561	4291
834	21589	4266
835	21613	4239
836	21643	4214
837	21667	4188
838	21694	4163
839	21719	4136
840	21743	4110
841	21768	4084
842	21793	4058
843	21819	4032
844	21844	4007
845	21869	3980
846	21895	3955
847	21921	3929
848	21949	3903
849	21973	3877
850	22001	3852
851	22030	3826
852	22054	3800
853	22081	3775
854	22105	3748
855	22135	3723
856	22165	3698
857	22192	3672
858	22217	3646
859	22244	3621
860	22269	3595
861	22295	3569
862	22321	3543
863	22345	3517
864	22372	3491
865	22397	3465
866	22426	3440
867	22454	3414
868	22480	3388
869	22508	3363
870	22534	3337
871	22560	3311
872	22587	3285
873	22612	3259
874	22638	3234
875	22663	3208
876	22690	3182
877	22715	3156
878	22739	3130
879	22762	3104
880	22796	3079
881	22827	3053
882	22855	3028
883	22880	3002
884	22906	2976
885	22937	2951
886	22961	2925
887	22989	2899
888	23014	2873
889	23040	2847
890	23070	2822
891	23095	2796
892	23121	2770
893	23147	2744
894	23171	2718
895	23199	2692
896	23226	2667
897	23266	2642
898	23291	2616
899	23319	2591
900	23347	2565
901	23372	2539
902	23400	2513
903	23427	2487
904	23451	2461
905	23480	2436
906	23505	2410
907	23530	2384
908	23557	2358
909	23580	2332
910	23608	2306
911	23633	2280
912	23661	2254
913	23686	2228
914	23713	2202
915	23739	2177
916	23766	2151
917	23794	2125
918	23820	2099
919	23844	2073
920	23872	2047
921	23898	2021
922	23924	1995
923	23952	1970
924	23979	1944
925	24010	1918
926	24036	1892
927	24064	1867
928	24092	1841
929	24119	1815
930	24144	1789
931	24170	1763
932	24195	1737
933	24223	1711
934	24253	1686
935	24278	1660
936	24303	1634
937	24329	1608
938	24357	1582
939	24387	1556
940	24417	1530
941	24443	1505
942	24471	1479
943	24497	1453
944	24521	1427
